subset,model,algorithm,fpr,tpr
maj_rep-pro_defendant,0,my_rf,0.0,0.0010249402118209772
maj_rep-pro_defendant,0,my_rf,0.0005422993492407809,0.0030748206354629312
maj_rep-pro_defendant,0,my_rf,0.0005422993492407809,0.0058079945336522035
maj_rep-pro_defendant,0,my_rf,0.0005422993492407809,0.006832934745473181
maj_rep-pro_defendant,0,my_rf,0.0005422993492407809,0.009907755380936112
maj_rep-pro_defendant,0,my_rf,0.0005422993492407809,0.013665869490946362
maj_rep-pro_defendant,0,my_rf,0.0005422993492407809,0.01742398360095661
maj_rep-pro_defendant,0,my_rf,0.0005422993492407809,0.022890331397335154
maj_rep-pro_defendant,0,my_rf,0.0010845986984815619,0.026306798770071745
maj_rep-pro_defendant,0,my_rf,0.0016268980477223427,0.030064912880081996
maj_rep-pro_defendant,0,my_rf,0.0016268980477223427,0.0341646737273659
maj_rep-pro_defendant,0,my_rf,0.0021691973969631237,0.039289374786470786
maj_rep-pro_defendant,0,my_rf,0.0027114967462039045,0.041680901947386405
maj_rep-pro_defendant,0,my_rf,0.0027114967462039045,0.044755722582849336
maj_rep-pro_defendant,0,my_rf,0.0032537960954446853,0.04817218995558593
maj_rep-pro_defendant,0,my_rf,0.0032537960954446853,0.05124701059104886
maj_rep-pro_defendant,0,my_rf,0.003796095444685466,0.05842159207379569
maj_rep-pro_defendant,0,my_rf,0.003796095444685466,0.06320464639562692
maj_rep-pro_defendant,0,my_rf,0.004338394793926247,0.06935428766655279
maj_rep-pro_defendant,0,my_rf,0.004880694143167028,0.07311240177656303
maj_rep-pro_defendant,0,my_rf,0.004880694143167028,0.07823710283566791
maj_rep-pro_defendant,0,my_rf,0.004880694143167028,0.08404509736932013
maj_rep-pro_defendant,0,my_rf,0.005422993492407809,0.08916979842842501
maj_rep-pro_defendant,0,my_rf,0.00596529284164859,0.09531943969935087
maj_rep-pro_defendant,0,my_rf,0.0070498915401301515,0.1001024940211821
maj_rep-pro_defendant,0,my_rf,0.007592190889370932,0.10556884181756064
maj_rep-pro_defendant,0,my_rf,0.008676789587852495,0.11035189613939186
maj_rep-pro_defendant,0,my_rf,0.008676789587852495,0.11547659719849676
maj_rep-pro_defendant,0,my_rf,0.008676789587852495,0.12162623846942262
maj_rep-pro_defendant,0,my_rf,0.009219088937093275,0.12743423300307483
maj_rep-pro_defendant,0,my_rf,0.009219088937093275,0.13358387427400067
maj_rep-pro_defendant,0,my_rf,0.009219088937093275,0.13700034164673727
maj_rep-pro_defendant,0,my_rf,0.009761388286334056,0.1411001024940212
maj_rep-pro_defendant,0,my_rf,0.009761388286334056,0.14485821660403142
maj_rep-pro_defendant,0,my_rf,0.010303687635574838,0.14861633071404168
maj_rep-pro_defendant,0,my_rf,0.010845986984815618,0.1544243252476939
maj_rep-pro_defendant,0,my_rf,0.012472885032537961,0.16057396651861974
maj_rep-pro_defendant,0,my_rf,0.013557483731019523,0.16740690126409294
maj_rep-pro_defendant,0,my_rf,0.014099783080260303,0.17116501537410317
maj_rep-pro_defendant,0,my_rf,0.014642082429501085,0.17628971643320807
maj_rep-pro_defendant,0,my_rf,0.015184381778741865,0.17970618380594466
maj_rep-pro_defendant,0,my_rf,0.015726681127982648,0.18243935770413391
maj_rep-pro_defendant,0,my_rf,0.016811279826464208,0.1875640587632388
maj_rep-pro_defendant,0,my_rf,0.01735357917570499,0.19337205329689103
maj_rep-pro_defendant,0,my_rf,0.01735357917570499,0.19781346088144858
maj_rep-pro_defendant,0,my_rf,0.01789587852494577,0.2036214554151008
maj_rep-pro_defendant,0,my_rf,0.01789587852494577,0.20498804236419543
maj_rep-pro_defendant,0,my_rf,0.01843817787418655,0.20942944994875298
maj_rep-pro_defendant,0,my_rf,0.01898047722342733,0.2135292107960369
